2014-10-30 18:02:41 Debug: Notice (8): Undefined variable: number in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 460]
2014-10-31 14:03:30 Debug: Notice (8): Undefined variable: userid in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 502]
2014-10-31 14:04:15 Debug: Notice (8): Undefined variable: userid in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 502]
2014-10-31 16:53:01 Debug: Notice (8): Undefined property: ApiController::$ProductCollection in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 602]
2014-10-31 17:59:48 Debug: Notice (8): Undefined index:  foreignKey in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 1412]
2014-11-04 16:41:11 Debug: Notice (8): Undefined variable: dvalue in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 790]
2014-11-04 16:43:05 Debug: Notice (8): Undefined variable: count in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 787]
2014-11-04 17:49:26 Debug: Notice (8): Undefined variable: value in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 801]
2014-11-04 17:53:16 Debug: Notice (8): Undefined property: ApiController::$City in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 764]
2014-11-04 17:53:23 Debug: Notice (8): Undefined property: ApiController::$City in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 764]
2014-11-04 18:08:21 Debug: Notice (8): Undefined variable: id in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 791]
2014-11-04 18:08:34 Debug: Notice (8): Undefined variable: id in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 793]
2014-11-04 18:11:29 Debug: Notice (8): Undefined variable: ids in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 792]
2014-11-04 18:11:36 Debug: Notice (8): Undefined variable: id in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 795]
2014-11-04 18:13:58 Debug: Notice (8): Undefined variable: idss in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 827]
2014-11-04 20:32:44 Debug: Notice (8): Undefined variable: ispass in [F:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 888]
2014-11-04 20:32:44 Debug: Notice (8): Undefined variable: onsale in [F:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 890]
2014-11-06 01:19:23 Debug: Notice (8): Undefined variable: ispass in [F:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 451]
2014-11-06 01:19:23 Debug: Notice (8): Undefined variable: ispass in [F:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 452]
2014-11-06 01:19:23 Debug: Notice (8): Undefined variable: onsale in [F:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 457]
2014-11-06 01:19:23 Debug: Notice (8): Undefined variable: onsale in [F:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 458]
2014-11-08 16:53:00 Debug: Notice (8): Undefined variable: advertisings in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 1036]
2014-11-09 01:36:45 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2025]
2014-11-09 01:36:45 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2029]
2014-11-09 01:36:45 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2033]
2014-11-09 01:36:45 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2034]
2014-11-09 01:37:30 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2025]
2014-11-09 01:37:30 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2029]
2014-11-09 01:37:30 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2033]
2014-11-09 01:37:30 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2034]
2014-11-09 01:47:07 Debug: Notice (8): Use of undefined constant ispass - assumed 'ispass' in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 450]
2014-11-09 01:50:06 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2025]
2014-11-09 01:50:06 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2029]
2014-11-09 01:50:06 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2033]
2014-11-09 01:50:06 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2034]
2014-11-09 11:13:14 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2025]
2014-11-09 11:13:14 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2029]
2014-11-09 11:13:14 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2033]
2014-11-09 11:13:14 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2034]
2014-11-09 12:11:44 Debug: Notice (8): Undefined variable: limit in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 1035]
2014-11-09 12:18:24 Debug: Notice (8): Undefined property: ApiController::$ProductComment in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 1093]
2014-11-09 13:01:31 Debug: Notice (8): Trying to get property of non-object in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 1030]
2014-11-09 13:01:31 Debug: Notice (8): Trying to get property of non-object in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 1033]
2014-11-09 13:01:55 Debug: Notice (8): Trying to get property of non-object in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 1030]
2014-11-09 13:01:55 Debug: Notice (8): Trying to get property of non-object in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 1033]
2014-11-09 13:13:33 Debug: Notice (8): Undefined variable: users in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 1154]
2014-11-09 13:13:33 Debug: Notice (8): Undefined variable: users in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 1165]
2014-11-09 13:14:09 Debug: Notice (8): Undefined variable: users in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 1156]
2014-11-09 13:14:09 Debug: Notice (8): Undefined variable: users in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 1167]
2014-11-09 13:14:31 Debug: Notice (8): Undefined variable: users in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 1168]
2014-11-09 13:14:48 Debug: Notice (8): Undefined variable: value in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 1169]
2014-11-14 10:44:43 Debug: Notice (8): Undefined index:  User in [E:\Projects\PHP\aodshop\app\views\elements\list.ctp, line 2]
2014-11-14 10:44:43 Debug: Notice (8): Undefined index:  User in [E:\Projects\PHP\aodshop\app\views\elements\list.ctp, line 37]
2014-11-14 10:44:43 Debug: Notice (8): Undefined index:  User in [E:\Projects\PHP\aodshop\app\views\elements\list.ctp, line 48]
2014-11-14 10:44:43 Debug: Notice (8): Undefined index:  User in [E:\Projects\PHP\aodshop\app\views\elements\list.ctp, line 57]
2014-11-14 10:45:39 Debug: Notice (8): Undefined property: View::$Helper in [E:\Projects\PHP\aodshop\app\views\users\lv1_list_user.ctp, line 83]
2014-11-14 10:45:46 Debug: Notice (8): Undefined index:  User in [E:\Projects\PHP\aodshop\app\views\elements\list.ctp, line 2]
2014-11-14 10:45:46 Debug: Notice (8): Undefined index:  User in [E:\Projects\PHP\aodshop\app\views\elements\list.ctp, line 37]
2014-11-14 10:45:46 Debug: Notice (8): Undefined index:  User in [E:\Projects\PHP\aodshop\app\views\elements\list.ctp, line 48]
2014-11-14 10:45:46 Debug: Notice (8): Undefined index:  User in [E:\Projects\PHP\aodshop\app\views\elements\list.ctp, line 57]
2014-11-14 10:46:23 Debug: Notice (8): Use of undefined constant php - assumed 'php' in [E:\Projects\PHP\aodshop\app\views\elements\list.ctp, line 67]
